OBJECTID,SSL,LAND_USE_CODE,LAND_USE_DESCRIPTION,LANDAREA,PROPERTY_ADDRESS,OWNER_NAME_PRIMARY,APPRAISED_VALUE_PRIOR_LAND,APPRAISED_VALUE_PRIOR_IMPR,APPRAISED_VALUE_PRIOR_TOTAL,APPRAISED_VALUE_PROPOSED_LAND,APPRAISED_VALUE_PROPOSED_IMPR,APPRAISED_VALUE_PROPOSED_TOTAL,APPRAISED_VALUE_CURRENT_LAND,APPRAISED_VALUE_CURRENT_BLDG,VACANT_USE,HOMESTEAD_CODE,HOMESTEAD_DESCRIPTION,TAX_TYPE_DESCRIPTION,TAXRATE,MIXED_USE,OWNER_OCCUPIED_COOP_UNITS,LAST_SALE_PRICE,LAST_SALE_DATE,DEED_DATE,CURRENT_ASSESSMENT_CAP,PROPOSED_ASSESSMENT_CAP,OWNER_NAME_SECONDARY,ADDRESS_ID,LASTMODIFIEDDATE,APPRAISED_VALUE_CURRENT_TOTAL
81,PI0003740244,191,Vacant-True,0,9TH ST NW WASHINGTON DC 20001,"CCDC RETAIL, LLC",2822070,0,2822070,2822070,0,2822070,2822070,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,2822070,2822070,,,1/27/2023 8:03:12 AM,2822070
82,PI0003740256,191,Vacant-True,62,10TH ST NW WASHINGTON DC 20001,"CCDC OFFICE, LLC",10360,0,10360,10360,0,10360,10360,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,10360,10360,,,1/27/2023 8:03:12 AM,10360
83,PI0003740228,191,Vacant-True,4388,9TH ST NW WASHINGTON DC 20001,"CCDC RETAIL, LLC",738590,0,738590,738590,0,738590,738590,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,738590,738590,,,1/27/2023 8:03:12 AM,738590
84,PI0003740240,191,Vacant-True,0,H ST NW WASHINGTON DC 20001,"CCDC RETAIL, LLC",805420,0,805420,805420,0,805420,805420,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,805420,805420,,,1/27/2023 8:03:12 AM,805420
85,PI0003740248,191,Vacant-True,0,11TH ST NW WASHINGTON DC 20001,"CCDC RETAIL, LLC",8930,0,8930,8930,0,8930,8930,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,8930,8930,,,1/27/2023 8:03:12 AM,8930
86,PI0003740232,191,Vacant-True,1378,9TH ST NW WASHINGTON DC 20001,"CCDC RETAIL, LLC",231950,0,231950,231950,0,231950,231950,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,231950,231950,,,1/27/2023 8:03:12 AM,231950
87,PI0003740299,092,Vacant-With Permit,0,H ST NW WASHINGTON DC 20001,"CCDC ESIDENTIAL RENTAL, LLC",2778210,0,2778210,2778210,0,2778210,2778210,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,2778210,2778210,,,1/27/2023 8:03:12 AM,2778210
88,PI0003740279,092,Vacant-With Permit,15,978 I ST NW WASHINGTON DC 20001,"CCDC ESIDENTIAL RENTAL, LLC",2450,0,2450,2450,0,2450,2450,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,2450,2450,,,1/27/2023 8:03:12 AM,2450
89,PI0003740295,092,Vacant-With Permit,0,H ST NW WASHINGTON DC 20001,"CCDC ESIDENTIAL RENTAL, LLC",52610,0,52610,52610,0,52610,52610,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,52610,52610,,,1/27/2023 8:03:12 AM,52610
90,PI0003740287,092,Vacant-With Permit,12,H ST NW WASHINGTON DC 20001,"CCDC ESIDENTIAL RENTAL, LLC",1960,0,1960,1960,0,1960,1960,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,1960,1960,,,1/27/2023 8:03:12 AM,1960
91,PI0003740303,092,Vacant-With Permit,0,H ST NW WASHINGTON DC 20001,"CCDC ESIDENTIAL RENTAL, LLC",748340,0,748340,748340,0,748340,748340,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,748340,748340,,,1/27/2023 8:03:12 AM,748340
92,PI0003740235,191,Vacant-True,10991,1000 I ST NW WASHINGTON DC 20001,"CCDC RETAIL, LLC",1850020,0,1850020,1850020,0,1850020,1850020,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1850020,1850020,,,1/27/2023 8:03:12 AM,1850020
93,PI0003740243,191,Vacant-True,0,9TH ST NW WASHINGTON DC 20001,"CCDC RETAIL, LLC",4512640,0,4512640,4512640,0,4512640,4512640,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,4512640,4512640,,,1/27/2023 8:03:12 AM,4512640
94,PI0003740239,191,Vacant-True,0,H ST NW WASHINGTON DC 20001,"CCDC RETAIL, LLC",357530,0,357530,357530,0,357530,357530,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,357530,357530,,,1/27/2023 8:03:12 AM,357530
95,PI0003740247,191,Vacant-True,0,11TH ST NW WASHINGTON DC 20001,"CCDC RETAIL, LLC",1420,0,1420,1420,0,1420,1420,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1420,1420,,,1/27/2023 8:03:12 AM,1420
96,PI0003740231,191,Vacant-True,7515,9TH ST NW WASHINGTON DC 20001,"CCDC RETAIL, LLC",1264930,0,1264930,1264930,0,1264930,1264930,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1264930,1264930,,,1/27/2023 8:03:12 AM,1264930
97,PI0003740237,191,Vacant-True,18015,1099 H ST NW WASHINGTON DC 20001,"CCDC RETAIL, LLC",3032300,0,3032300,3032300,0,3032300,3032300,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,3032300,3032300,,,1/27/2023 8:03:12 AM,3032300
98,PI0003740245,191,Vacant-True,0,11TH ST NW WASHINGTON DC 20001,"CCDC RETAIL, LLC",51400,0,51400,51400,0,51400,51400,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,51400,51400,,,1/27/2023 8:03:12 AM,51400
99,PI0003740261,191,Vacant-True,852,10TH ST NW WASHINGTON DC 20001,"CCDC OFFICE, LLC",142310,0,142310,142310,0,142310,142310,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,142310,142310,,,1/27/2023 8:03:12 AM,142310
100,PI0003740257,191,Vacant-True,776,10TH ST NW WASHINGTON DC 20001,"CCDC OFFICE, LLC",129620,0,129620,129620,0,129620,129620,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,129620,129620,,,1/27/2023 8:03:12 AM,129620
101,PI0003740252,191,Vacant-True,29295,10TH ST NW WASHINGTON DC 20001,"CCDC OFFICE, LLC",4893230,0,4893230,4893230,0,4893230,4893230,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,4893230,4893230,,,1/27/2023 8:03:12 AM,4893230
102,PI0003740260,191,Vacant-True,2821,10TH ST NW WASHINGTON DC 20001,"CCDC OFFICE, LLC",471200,0,471200,471200,0,471200,471200,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,471200,471200,,,1/27/2023 8:03:12 AM,471200
103,PI0003740271,191,Vacant-True,0,10TH ST NW WASHINGTON DC 20001,"CCDC OFFICE, LLC",1900,0,1900,1900,0,1900,1900,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1900,1900,,,1/27/2023 8:03:12 AM,1900
104,PI0003740267,191,Vacant-True,0,10TH ST NW WASHINGTON DC 20001,"CCDC OFFICE, LLC",590760,0,590760,590760,0,590760,590760,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,590760,590760,,,1/27/2023 8:03:12 AM,590760
105,PI0003740275,191,Vacant-True,0,10TH ST NW WASHINGTON DC 20001,"CCDC OFFICE, LLC",412060,0,412060,412060,0,412060,412060,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,412060,412060,,,1/27/2023 8:03:12 AM,412060
106,PI0003740272,191,Vacant-True,0,10TH ST NW WASHINGTON DC 20001,"CCDC OFFICE, LLC",3527060,0,3527060,3527060,0,3527060,3527060,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,3527060,3527060,,,1/27/2023 8:03:12 AM,3527060
107,PI0003740268,191,Vacant-True,0,10TH ST NW WASHINGTON DC 20001,"CCDC OFFICE, LLC",74680,0,74680,74680,0,74680,74680,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,74680,74680,,,1/27/2023 8:03:12 AM,74680
108,PI0003740276,191,Vacant-True,0,10TH ST NW WASHINGTON DC 20001,"CCDC OFFICE, LLC",3526730,0,3526730,3526730,0,3526730,3526730,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,3526730,3526730,,,1/27/2023 8:03:12 AM,3526730
109,PI0003740227,191,Vacant-True,3847,9TH ST NW WASHINGTON DC 20001,"CCDC RETAIL, LLC",647530,0,647530,647530,0,647530,647530,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,647530,647530,,,1/27/2023 8:03:12 AM,647530
110,WFI004730008,191,Vacant-True,806,MAINE AVE SW WASHINGTON DC 20024,WHARF GANGPLANK MARINA LEASEHOLDER LLC,9718185,0,9718185,9718185,0,9718185,9718185,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels betwee",1.77,,0,0,,,9718185,9718185,,,1/27/2023 8:03:12 AM,9718185
111,PI0003740225,191,Vacant-True,26787,960 I ST NW WASHINGTON DC 20001,"CCDC RETAIL, LLC",4508820,0,4508820,4508820,0,4508820,4508820,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,4508820,4508820,,,1/27/2023 8:03:12 AM,4508820
112,PI0003740224,191,Vacant-True,807,11TH ST NW WASHINGTON DC 20001,"CCDC RETAIL, LLC",135840,0,135840,135840,0,135840,135840,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,135840,135840,,,1/27/2023 8:03:12 AM,135840
113,PI0003740226,191,Vacant-True,28156,949 H ST NW WASHINGTON DC 20001,"CCDC RETAIL, LLC",4739250,0,4739250,4739250,0,4739250,4739250,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,4739250,4739250,,,1/27/2023 8:03:12 AM,4739250
114,PI0003740238,191,Vacant-True,0,H ST NW WASHINGTON DC 20001,"CCDC RETAIL, LLC",27530,0,27530,27530,0,27530,27530,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,27530,27530,,,1/27/2023 8:03:12 AM,27530
115,PI0003740246,191,Vacant-True,0,11TH ST NW WASHINGTON DC 20001,"CCDC RETAIL, LLC",107860,0,107860,107860,0,107860,107860,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,107860,107860,,,1/27/2023 8:03:12 AM,107860
116,PI0003740230,191,Vacant-True,7476,9TH ST NW WASHINGTON DC 20001,"CCDC RETAIL, LLC",1258370,0,1258370,1258370,0,1258370,1258370,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1258370,1258370,,,1/27/2023 8:03:12 AM,1258370
117,PI0003740254,191,Vacant-True,71,10TH ST NW WASHINGTON DC 20001,"CCDC OFFICE, LLC",11860,0,11860,11860,0,11860,11860,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,11860,11860,,,1/27/2023 8:03:12 AM,11860
118,5877    1095,092,Vacant-With Permit,1056,2448 JAMES BANKS RD SE WASHINGTON DC 20020-3747,"JONES, SHAKYE",34120,0,34120,120520,363540,484060,34120,0,YES,1,HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,560775,4/1/2022 12:00:00 AM,4/1/2022 12:00:00 AM,34120,405360,,317270,1/27/2023 8:03:12 AM,34120
119,5317    0037,091,Vacant-True,2000,520 51ST ST SE WASHINGTON DC 20019,510-530 51ST STREET INC,75820,0,75820,80140,0,80140,76160,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,215000,7/26/2018 12:00:00 AM,7/26/2018 12:00:00 AM,76160,80140,,307388,1/27/2023 8:03:12 AM,76160
120,0026    0809,191,Vacant-True,5232,PENNSYLVANIA AVE NW WASHINGTON DC 20037,UNITED STATES OF AMERICA,6560930,0,6560930,6560930,0,6560930,6560930,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels betwee",1.77,,0,0,,,6560930,6560930,,,1/27/2023 8:03:12 AM,6560930
121,3826    0014,091,Vacant-True,6225,MICHIGAN AVE NE WASHINGTON DC 20017,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA),97550,0,97550,97550,0,97550,97550,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,97550,97550,,,1/27/2023 8:03:12 AM,97550
122,PAR 01310234,192,Vacant-With Permit,26704,RHODE ISLAND AVE NE WASHINGTON DC 20018,DISTRICT OF COLUMBIA,6397740,0,6397740,6397740,0,6397740,6397740,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels betwee",1.77,,0,0,,,6397740,6397740,,,1/27/2023 8:03:12 AM,6397740
123,0874    0835,191,Vacant-True,28875,PENNSYLVANIA AVE SE WASHINGTON DC 20003,UNITED STATES OF AMERICA,7915500,0,7915500,7915500,0,7915500,7915500,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels betwee",1.77,,0,0,,,7915500,7915500,,,1/27/2023 8:03:12 AM,7915500
124,2777    0030,091,Vacant-True,6857,NW WASHINGTON DC 00000,DISTRICT OF COLUMBIA,148730,0,148730,148730,0,148730,148730,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,148730,148730,,308719,1/27/2023 8:03:12 AM,148730
125,0013    0833,191,Vacant-True,78990,25TH ST NW WASHINGTON DC 20037,UNITED STATES OF AMERICA,75593430,0,75593430,75593430,0,75593430,75593430,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels greate",1.89,,0,0,,,75593430,75593430,,337013,1/27/2023 8:03:12 AM,75593430
126,5627S   0014,191,Vacant-True,3121,NAYLOR RD SE WASHINGTON DC 20020,UNITED STATES OF AMERICA,187540,0,187540,187540,0,187540,187540,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,187540,187540,,,1/27/2023 8:03:12 AM,187540
127,0995    0819,093,Vacant-Zoning Limits,1059,12TH ST SE WASHINGTON DC 20003,"SHOPSHIRE, BERLINDA K",78140,0,78140,83590,0,83590,78920,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,5/14/2001 12:00:00 AM,5/14/2001 12:00:00 AM,78920,83590,,,1/27/2023 8:03:12 AM,78920
128,4249    0810,093,Vacant-Zoning Limits,904,NE WASHINGTON DC 00000,"MCNAIR, CAROLYN",10190,0,10190,10190,0,10190,10190,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,7/14/1999 12:00:00 AM,7/14/1999 12:00:00 AM,10190,10190,"MCNAIR, CAROLYN J",,1/27/2023 8:03:12 AM,10190
129,0028    0905,091,Vacant-True,602,929 REAR 25TH ST NW WASHINGTON DC 20037-2118,WILLIAM H COWDRICK TRUSTEE,485510,0,485510,492240,0,492240,491700,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,7/25/2014 12:00:00 AM,7/25/2014 12:00:00 AM,491700,492240,,334555,1/27/2023 8:03:12 AM,491700
130,PI0003740262,191,Vacant-True,4584,10TH ST NW WASHINGTON DC 20001,"CCDC OFFICE, LLC",765680,0,765680,765680,0,765680,765680,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,765680,765680,,,1/27/2023 8:03:12 AM,765680
131,PI0003740258,191,Vacant-True,4626,10TH ST NW WASHINGTON DC 20001,"CCDC OFFICE, LLC",772690,0,772690,772690,0,772690,772690,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,772690,772690,,,1/27/2023 8:03:12 AM,772690
132,PI0003740250,191,Vacant-True,40294,10TH ST NW WASHINGTON DC 20001,"CCDC OFFICE, LLC",6730420,0,6730420,6730420,0,6730420,6730420,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels betwee",1.77,,0,0,,,6730420,6730420,,,1/27/2023 8:03:12 AM,6730420
133,PI0003740277,191,Vacant-True,0,10TH ST NW WASHINGTON DC 20001,"CCDC OFFICE, LLC",1006710,0,1006710,1006710,0,1006710,1006710,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1006710,1006710,,,1/27/2023 8:03:12 AM,1006710
134,PI0003740251,191,Vacant-True,5646,10TH ST NW WASHINGTON DC 20001,"CCDC OFFICE, LLC",943400,0,943400,943400,0,943400,943400,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,943400,943400,,,1/27/2023 8:03:12 AM,943400
135,PI0003740259,191,Vacant-True,36,10TH ST NW WASHINGTON DC 20001,"CCDC OFFICE, LLC",6010,0,6010,6010,0,6010,6010,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,6010,6010,,,1/27/2023 8:03:12 AM,6010
136,PI0003740255,191,Vacant-True,4794,10TH ST NW WASHINGTON DC 20001,"CCDC OFFICE, LLC",800760,0,800760,800760,0,800760,800760,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,800760,800760,,,1/27/2023 8:03:12 AM,800760
137,PI0003740264,191,Vacant-True,0,10TH ST NW WASHINGTON DC 20001,"CCDC OFFICE, LLC",273010,0,273010,273010,0,273010,273010,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,273010,273010,,,1/27/2023 8:03:12 AM,273010
138,PI0003740253,191,Vacant-True,25139,10TH ST NW WASHINGTON DC 20001,"CCDC OFFICE, LLC",4199040,0,4199040,4199040,0,4199040,4199040,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,4199040,4199040,,,1/27/2023 8:03:12 AM,4199040
139,PI0003740270,191,Vacant-True,0,10TH ST NW WASHINGTON DC 20001,"CCDC OFFICE, LLC",100410,0,100410,100410,0,100410,100410,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,100410,100410,,,1/27/2023 8:03:12 AM,100410
140,PI0003740266,191,Vacant-True,0,10TH ST NW WASHINGTON DC 20001,"CCDC OFFICE, LLC",52610,0,52610,52610,0,52610,52610,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,52610,52610,,,1/27/2023 8:03:12 AM,52610
141,PI0003740274,191,Vacant-True,0,10TH ST NW WASHINGTON DC 20001,"CCDC OFFICE, LLC",55521090,0,55521090,55521090,0,55521090,55521090,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels greate",1.89,,0,0,,,55521090,55521090,,,1/27/2023 8:03:12 AM,55521090
142,PI0003740269,191,Vacant-True,0,10TH ST NW WASHINGTON DC 20001,"CCDC OFFICE, LLC",1710,0,1710,1710,0,1710,1710,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1710,1710,,,1/27/2023 8:03:12 AM,1710
143,PI0003740265,191,Vacant-True,0,10TH ST NW WASHINGTON DC 20001,"CCDC OFFICE, LLC",268830,0,268830,268830,0,268830,268830,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,268830,268830,,,1/27/2023 8:03:12 AM,268830
144,PI0003740273,191,Vacant-True,0,10TH ST NW WASHINGTON DC 20001,"CCDC OFFICE, LLC",1006370,0,1006370,1006370,0,1006370,1006370,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1006370,1006370,,,1/27/2023 8:03:12 AM,1006370
145,WFI004730007,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF PHASE 1 RETAIL REIT LLC,75105,0,75105,75105,0,75105,75105,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,75105,75105,,,1/27/2023 8:03:12 AM,75105
146,PI00N5630409,191,Vacant-True,6348,NEW JERSEY AVE NW WASHINGTON DC 20001,CAPITOL VISTA RETAIL OWNER LLC,1356458,0,1356458,1356458,0,1356458,1356458,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1356458,1356458,,,1/27/2023 8:03:12 AM,1356458
147,WFI004730004,191,Vacant-True,4836,800 WHARF ST SW WASHINGTON DC 20024-3469,WHARF PHASE 1 RETAIL REIT LLC,4638495,0,4638495,4638495,0,4638495,4638495,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,4638495,4638495,,,1/27/2023 8:03:12 AM,4638495
148,WFI004730002,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF PHASE 1 RETAIL REIT LLC,1452015,0,1452015,1452015,0,1452015,1452015,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1452015,1452015,,,1/27/2023 8:03:12 AM,1452015
149,WFI004730006,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF PHASE 1 RETAIL REIT LLC,67050,0,67050,67050,0,67050,67050,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,67050,67050,,,1/27/2023 8:03:12 AM,67050
150,WFI004730005,191,Vacant-True,33492,771 WHARF ST SW WASHINGTON DC 20024,WHARF PHASE 1 RETAIL REIT LLC,1261380,0,1261380,1261380,0,1261380,1261380,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,1261380,1261380,,,1/27/2023 8:03:12 AM,1261380
151,WFI004730003,191,Vacant-True,3714,760 MAINE AVE SW WASHINGTON DC 20024-2495,WHARF PHASE 1 RETAIL REIT LLC,6971955,0,6971955,6971955,0,6971955,6971955,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels betwee",1.77,,0,0,,,6971955,6971955,,,1/27/2023 8:03:12 AM,6971955
152,3760    0922,093,Vacant-Zoning Limits,7717,SOUTH DAKOTA AVE NE WASHINGTON DC 00000,FORT TOTTEN SOUTH LLC,566510,0,566510,100,0,100,100,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,0,,,100,100,,,1/27/2023 8:03:12 AM,100
153,2060    0829,191,Vacant-True,265,RODMAN ST NW WASHINGTON DC 20008,UNITED STATES OF AMERICA,9620,0,9620,9620,0,9620,9620,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,9620,9620,,,1/27/2023 8:03:12 AM,9620
154,5578    0028,091,Vacant-True,2705,WHITE PL SE WASHINGTON DC 20020,"COHEN, DANIEL A",55020,0,55020,55020,0,55020,55020,0,YES,,NO HOMESTEAD,"Residential real property, including multifamily ",0.85,,0,425000,6/11/2018 12:00:00 AM,6/11/2018 12:00:00 AM,55020,55020,,,1/27/2023 8:03:12 AM,55020
155,0542    0831,193,Vacant-Zoning Limits,18376,4TH ST SW WASHINGTON DC 20024,USGBF WATERFRONT STATION LLC,1290,0,1290,1290,0,1290,1290,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,356000000,5/11/2011 12:00:00 AM,5/11/2011 12:00:00 AM,1290,1290,,,1/27/2023 8:03:12 AM,1290
156,5627S   0015,191,Vacant-True,2785,NAYLOR RD SE WASHINGTON DC 20020,UNITED STATES OF AMERICA,168100,0,168100,168100,0,168100,168100,0,YES,,NO HOMESTEAD,"Commercial and industrial real property, including hotels and motels less t",1.65,,0,0,,,168100,168100,,,1/27/2023 8:03:12 AM,168100
